latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.771528,-95.33099,14.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),wind_speed_10m (km/h),cloud_cover (%),shortwave_radiation (W/m²),precipitation (mm)
2021-01-01T00:00,9.4,6.4,27.5,4,6.0,0.00
2021-01-01T01:00,8.8,5.0,29.5,100,0.0,0.00
2021-01-01T02:00,8.8,4.2,26.1,97,0.0,0.00
2021-01-01T03:00,9.0,3.6,22.1,97,0.0,0.00
2021-01-01T04:00,8.6,2.8,23.5,56,0.0,0.00
2021-01-01T05:00,7.9,1.0,27.9,82,0.0,0.00
2021-01-01T06:00,6.9,1.0,25.8,6,0.0,0.00
2021-01-01T07:00,5.8,0.9,23.2,0,0.0,0.00
2021-01-01T08:00,5.2,0.1,24.5,0,0.0,0.00
2021-01-01T09:00,4.8,-0.9,22.5,0,0.0,0.00
2021-01-01T10:00,4.6,-1.4,21.1,0,0.0,0.00
2021-01-01T11:00,4.5,-1.5,20.3,0,0.0,0.00
2021-01-01T12:00,3.8,-1.6,18.5,0,0.0,0.00
2021-01-01T13:00,3.7,-1.6,16.6,0,0.0,0.00
2021-01-01T14:00,4.4,-0.9,15.8,0,26.0,0.00
2021-01-01T15:00,6.0,-0.2,15.1,0,184.0,0.00
2021-01-01T16:00,7.6,0.5,18.0,0,366.0,0.00
2021-01-01T17:00,9.0,1.2,21.7,47,514.0,0.00
2021-01-01T18:00,10.3,2.1,21.5,1,607.0,0.00
2021-01-01T19:00,11.3,2.9,19.8,52,636.0,0.00
2021-01-01T20:00,11.9,3.2,18.0,77,593.0,0.00
2021-01-01T21:00,12.2,3.5,16.2,94,477.0,0.00
2021-01-01T22:00,12.0,3.4,14.6,97,298.0,0.00
2021-01-01T23:00,11.3,3.4,12.7,91,127.0,0.00
2021-01-02T00:00,8.4,2.6,14.5,91,12.0,0.00
2021-01-02T01:00,7.6,2.1,14.6,82,0.0,0.00
2021-01-02T02:00,6.6,1.8,12.6,68,0.0,0.00
2021-01-02T03:00,5.9,1.6,9.7,27,0.0,0.00
2021-01-02T04:00,5.5,1.1,10.5,1,0.0,0.00
2021-01-02T05:00,4.9,0.7,8.4,0,0.0,0.00
2021-01-02T06:00,4.3,0.6,7.1,0,0.0,0.00
2021-01-02T07:00,4.0,0.4,9.3,0,0.0,0.00
2021-01-02T08:00,3.6,0.2,9.3,1,0.0,0.00
2021-01-02T09:00,3.3,-0.1,10.0,48,0.0,0.00
2021-01-02T10:00,3.8,-0.2,10.3,47,0.0,0.00
2021-01-02T11:00,3.9,-0.4,10.3,44,0.0,0.00
2021-01-02T12:00,3.7,0.4,10.0,66,0.0,0.00
2021-01-02T13:00,3.9,0.4,11.6,7,0.0,0.00
2021-01-02T14:00,4.1,0.8,12.4,10,24.0,0.00
2021-01-02T15:00,6.0,1.5,12.8,22,174.0,0.00
2021-01-02T16:00,7.5,1.9,15.7,0,345.0,0.00
2021-01-02T17:00,9.2,2.5,17.6,0,511.0,0.00
2021-01-02T18:00,10.7,3.0,18.9,0,607.0,0.00
2021-01-02T19:00,11.8,3.3,18.2,0,636.0,0.00
2021-01-02T20:00,12.7,3.1,16.6,0,601.0,0.00
2021-01-02T21:00,13.0,2.4,16.1,0,499.0,0.00
2021-01-02T22:00,12.9,1.4,14.5,0,345.0,0.00
2021-01-02T23:00,11.4,2.6,6.9,0,158.0,0.00
2021-01-03T00:00,8.7,2.9,6.3,0,15.0,0.00
2021-01-03T01:00,8.4,2.7,6.0,0,0.0,0.00
2021-01-03T02:00,8.2,2.3,5.7,0,0.0,0.00
2021-01-03T03:00,6.2,2.3,7.8,0,0.0,0.00
2021-01-03T04:00,6.0,2.1,7.6,0,0.0,0.00
2021-01-03T05:00,6.5,1.6,9.4,0,0.0,0.00
2021-01-03T06:00,6.2,1.8,9.2,0,0.0,0.00
2021-01-03T07:00,5.4,2.0,8.1,0,0.0,0.00
2021-01-03T08:00,5.0,2.0,8.0,6,0.0,0.00
2021-01-03T09:00,4.7,2.0,8.0,76,0.0,0.00
2021-01-03T10:00,4.9,1.8,8.7,86,0.0,0.00
2021-01-03T11:00,4.9,1.6,8.6,69,0.0,0.00
2021-01-03T12:00,5.3,1.8,9.0,67,0.0,0.00
2021-01-03T13:00,5.2,2.4,10.3,19,0.0,0.00
2021-01-03T14:00,7.0,3.4,11.6,57,26.0,0.00
2021-01-03T15:00,10.6,5.2,13.3,46,176.0,0.00
2021-01-03T16:00,13.9,6.4,12.4,21,361.0,0.00
2021-01-03T17:00,16.0,6.9,14.9,13,514.0,0.00
2021-01-03T18:00,17.2,6.4,16.4,0,612.0,0.00
2021-01-03T19:00,17.9,6.5,15.9,0,640.0,0.00
2021-01-03T20:00,18.2,7.2,14.8,0,600.0,0.00
2021-01-03T21:00,18.3,7.7,15.0,0,496.0,0.00
2021-01-03T22:00,17.9,8.0,14.8,0,341.0,0.00
2021-01-03T23:00,16.0,8.9,10.1,0,156.0,0.00
2021-01-04T00:00,14.3,8.6,17.1,0,15.0,0.00
2021-01-04T01:00,13.6,8.4,18.7,0,0.0,0.00
2021-01-04T02:00,12.8,8.4,16.6,0,0.0,0.00
2021-01-04T03:00,12.2,8.6,14.0,0,0.0,0.00
2021-01-04T04:00,11.6,9.1,13.0,0,0.0,0.00
2021-01-04T05:00,11.5,9.5,12.6,0,0.0,0.00
2021-01-04T06:00,11.4,9.7,11.2,0,0.0,0.00
2021-01-04T07:00,11.3,9.8,10.4,0,0.0,0.00
2021-01-04T08:00,10.9,9.7,8.7,0,0.0,0.00
2021-01-04T09:00,10.5,9.7,8.0,0,0.0,0.00
2021-01-04T10:00,10.4,9.7,8.4,0,0.0,0.00
2021-01-04T11:00,10.4,9.8,8.3,0,0.0,0.00
2021-01-04T12:00,10.7,10.0,8.4,0,0.0,0.00
2021-01-04T13:00,9.5,9.1,8.9,0,0.0,0.00
2021-01-04T14:00,11.3,10.6,9.4,0,24.0,0.00
2021-01-04T15:00,14.1,12.7,12.7,0,178.0,0.00
2021-01-04T16:00,16.5,14.4,13.4,0,355.0,0.00
2021-01-04T17:00,18.6,15.4,15.1,0,499.0,0.00
2021-01-04T18:00,20.2,15.5,15.1,7,592.0,0.00
2021-01-04T19:00,21.2,14.8,14.1,13,614.0,0.00
2021-01-04T20:00,21.7,13.8,11.6,8,563.0,0.00
2021-01-04T21:00,21.9,13.2,9.0,4,476.0,0.00
2021-01-04T22:00,21.6,13.0,6.7,0,333.0,0.00
2021-01-04T23:00,19.5,14.7,5.7,0,156.0,0.00
2021-01-05T00:00,18.5,12.7,5.8,0,16.0,0.00
2021-01-05T01:00,15.5,12.5,8.8,0,0.0,0.00
2021-01-05T02:00,14.0,12.0,9.9,0,0.0,0.00
2021-01-05T03:00,12.9,11.6,9.3,0,0.0,0.00
2021-01-05T04:00,12.3,11.5,7.5,0,0.0,0.00
2021-01-05T05:00,12.1,11.0,7.6,0,0.0,0.00
2021-01-05T06:00,11.5,10.1,7.6,0,0.0,0.00
2021-01-05T07:00,11.2,9.6,8.5,0,0.0,0.00
2021-01-05T08:00,10.4,8.9,7.4,0,0.0,0.00
2021-01-05T09:00,9.8,8.4,7.9,0,0.0,0.00
2021-01-05T10:00,10.0,8.4,9.4,0,0.0,0.00
2021-01-05T11:00,9.8,8.1,9.4,0,0.0,0.00
2021-01-05T12:00,9.3,7.6,7.2,0,0.0,0.00
2021-01-05T13:00,8.3,6.7,8.1,0,0.0,0.00
2021-01-05T14:00,9.6,6.9,9.8,0,25.0,0.00
2021-01-05T15:00,12.1,6.8,12.2,0,181.0,0.00
2021-01-05T16:00,14.1,6.9,13.4,4,361.0,0.00
2021-01-05T17:00,16.1,7.4,13.3,6,504.0,0.00
2021-01-05T18:00,17.7,7.5,13.7,9,595.0,0.00
2021-01-05T19:00,18.6,7.3,15.3,14,611.0,0.00
2021-01-05T20:00,18.8,7.5,15.4,12,575.0,0.00
2021-01-05T21:00,18.6,7.7,16.2,7,475.0,0.00
2021-01-05T22:00,17.7,7.8,17.0,2,329.0,0.00
2021-01-05T23:00,15.7,8.6,13.9,14,158.0,0.00
2021-01-06T00:00,13.9,9.1,11.8,50,15.0,0.00
2021-01-06T01:00,13.5,10.1,12.6,81,0.0,0.00
2021-01-06T02:00,14.0,10.6,14.3,41,0.0,0.00
2021-01-06T03:00,13.5,11.0,12.5,31,0.0,0.00
2021-01-06T04:00,13.5,11.4,12.3,52,0.0,0.00
2021-01-06T05:00,13.6,11.8,12.8,67,0.0,0.00
2021-01-06T06:00,13.5,12.0,12.1,92,0.0,0.00
2021-01-06T07:00,13.6,12.2,11.8,98,0.0,0.00
2021-01-06T08:00,13.9,12.5,12.2,94,0.0,0.00
2021-01-06T09:00,14.1,12.8,12.3,96,0.0,0.00
2021-01-06T10:00,14.3,13.1,12.4,94,0.0,0.00
2021-01-06T11:00,14.7,13.5,14.0,97,0.0,0.00
2021-01-06T12:00,15.4,14.1,13.8,96,0.0,0.00
2021-01-06T13:00,15.5,14.4,14.3,93,0.0,0.10
2021-01-06T14:00,15.5,14.4,11.5,99,14.0,0.40
2021-01-06T15:00,16.4,15.2,14.2,98,78.0,0.40
2021-01-06T16:00,17.3,15.8,17.9,93,122.0,0.20
2021-01-06T17:00,18.8,16.4,17.8,86,240.0,0.00
2021-01-06T18:00,20.7,16.6,21.3,91,346.0,0.00
2021-01-06T19:00,21.0,15.4,27.0,100,341.0,0.10
2021-01-06T20:00,20.7,15.1,29.0,72,207.0,0.00
2021-01-06T21:00,21.1,14.9,29.3,93,269.0,0.00
2021-01-06T22:00,19.9,15.3,32.4,69,138.0,0.10
2021-01-06T23:00,18.6,16.1,24.2,100,97.0,1.40
2021-01-07T00:00,15.5,13.8,37.3,100,0.0,16.60
2021-01-07T01:00,13.9,10.3,25.8,53,0.0,3.00
2021-01-07T02:00,13.0,9.0,19.3,2,0.0,0.00
2021-01-07T03:00,11.9,7.1,22.3,0,0.0,0.00
2021-01-07T04:00,11.2,5.3,19.9,0,0.0,0.00
2021-01-07T05:00,10.9,4.0,19.3,0,0.0,0.00
2021-01-07T06:00,10.6,3.3,19.8,0,0.0,0.00
2021-01-07T07:00,10.2,2.6,18.3,0,0.0,0.00
2021-01-07T08:00,9.8,2.2,18.7,0,0.0,0.00
2021-01-07T09:00,9.9,1.4,22.3,0,0.0,0.00
2021-01-07T10:00,9.8,0.6,23.3,0,0.0,0.00
2021-01-07T11:00,9.4,0.4,24.4,0,0.0,0.00
2021-01-07T12:00,8.9,1.3,21.5,0,0.0,0.00
2021-01-07T13:00,8.3,1.5,20.2,0,0.0,0.00
2021-01-07T14:00,8.5,2.2,19.7,0,25.0,0.00
2021-01-07T15:00,9.9,3.0,20.1,0,184.0,0.00
2021-01-07T16:00,11.0,3.4,24.2,0,369.0,0.00
2021-01-07T17:00,12.1,3.9,24.5,0,517.0,0.00
2021-01-07T18:00,13.2,4.6,23.7,0,613.0,0.00
2021-01-07T19:00,14.1,5.0,24.2,4,643.0,0.00
2021-01-07T20:00,14.7,5.0,25.1,25,604.0,0.00
2021-01-07T21:00,14.7,5.0,24.3,0,492.0,0.00
2021-01-07T22:00,14.2,4.9,23.2,0,356.0,0.00
2021-01-07T23:00,13.0,4.9,19.0,42,170.0,0.00
2021-01-08T00:00,11.4,4.1,17.2,23,17.0,0.00
2021-01-08T01:00,10.5,3.9,14.8,46,0.0,0.00
2021-01-08T02:00,9.6,3.8,12.6,18,0.0,0.00
2021-01-08T03:00,8.6,3.9,10.4,62,0.0,0.00
2021-01-08T04:00,8.8,3.7,11.2,100,0.0,0.00
2021-01-08T05:00,9.1,3.2,13.7,100,0.0,0.00
2021-01-08T06:00,8.6,2.8,12.6,60,0.0,0.00
2021-01-08T07:00,7.8,2.6,10.4,21,0.0,0.00
2021-01-08T08:00,7.2,2.5,10.2,19,0.0,0.00
2021-01-08T09:00,6.7,2.4,9.7,13,0.0,0.00
2021-01-08T10:00,6.5,2.4,10.8,2,0.0,0.00
2021-01-08T11:00,6.0,2.7,10.3,19,0.0,0.00
2021-01-08T12:00,5.7,3.1,9.5,1,0.0,0.00
2021-01-08T13:00,5.4,3.1,9.3,2,0.0,0.00
2021-01-08T14:00,6.1,3.4,12.2,5,25.0,0.00
2021-01-08T15:00,7.9,3.7,13.4,2,177.0,0.00
2021-01-08T16:00,9.3,3.9,12.6,5,362.0,0.00
2021-01-08T17:00,10.4,3.2,13.4,70,499.0,0.00
2021-01-08T18:00,11.2,3.3,13.3,80,522.0,0.00
2021-01-08T19:00,11.7,3.5,14.5,100,511.0,0.00
2021-01-08T20:00,11.9,3.5,16.4,100,467.0,0.00
2021-01-08T21:00,12.1,3.5,16.6,78,416.0,0.00
2021-01-08T22:00,11.9,3.3,14.7,0,325.0,0.00
2021-01-08T23:00,11.1,3.4,12.4,1,171.0,0.00
2021-01-09T00:00,8.0,3.0,8.7,0,20.0,0.00
2021-01-09T01:00,7.4,2.8,10.1,11,0.0,0.00
2021-01-09T02:00,6.7,2.7,11.5,6,0.0,0.00
2021-01-09T03:00,6.0,2.7,10.3,1,0.0,0.00
2021-01-09T04:00,5.2,2.5,9.0,0,0.0,0.00
2021-01-09T05:00,4.8,2.3,9.0,0,0.0,0.00
2021-01-09T06:00,4.1,2.1,7.2,21,0.0,0.00
2021-01-09T07:00,3.5,2.2,6.5,1,0.0,0.00
2021-01-09T08:00,2.8,1.9,6.9,0,0.0,0.00
2021-01-09T09:00,2.1,1.4,8.6,0,0.0,0.00
2021-01-09T10:00,2.2,1.4,6.5,0,0.0,0.00
2021-01-09T11:00,2.2,1.2,6.6,5,0.0,0.00
2021-01-09T12:00,2.2,1.2,8.0,10,0.0,0.00
2021-01-09T13:00,1.9,0.9,8.8,53,0.0,0.00
2021-01-09T14:00,2.9,1.4,11.0,52,25.0,0.00
2021-01-09T15:00,5.2,1.9,8.7,9,184.0,0.00
2021-01-09T16:00,7.0,2.3,7.8,0,370.0,0.00
2021-01-09T17:00,8.4,2.5,7.4,2,522.0,0.00
2021-01-09T18:00,9.4,2.8,6.1,9,616.0,0.00
2021-01-09T19:00,10.3,3.1,7.2,9,643.0,0.00
2021-01-09T20:00,11.0,3.1,8.8,0,607.0,0.00
2021-01-09T21:00,11.3,3.0,7.8,12,513.0,0.00
2021-01-09T22:00,11.2,2.9,6.9,63,361.0,0.00
2021-01-09T23:00,10.6,3.4,5.9,80,170.0,0.00
2021-01-10T00:00,8.7,3.0,8.3,15,19.0,0.00
2021-01-10T01:00,7.4,3.8,7.0,64,0.0,0.00
2021-01-10T02:00,7.4,4.1,9.4,95,0.0,0.00
2021-01-10T03:00,8.5,3.8,8.5,100,0.0,0.00
2021-01-10T04:00,8.7,2.5,9.4,100,0.0,0.00
2021-01-10T05:00,8.1,2.8,11.8,97,0.0,0.70
2021-01-10T06:00,7.2,2.4,12.5,77,0.0,0.30
2021-01-10T07:00,6.3,2.2,14.8,100,0.0,0.10
2021-01-10T08:00,6.3,1.9,12.4,100,0.0,0.10
2021-01-10T09:00,5.9,1.8,16.9,80,0.0,0.30
2021-01-10T10:00,5.2,1.9,18.1,100,0.0,0.20
2021-01-10T11:00,5.2,1.9,16.2,100,0.0,0.00
2021-01-10T12:00,5.3,3.8,18.3,100,0.0,0.30
2021-01-10T13:00,5.1,3.6,19.1,100,0.0,0.70
2021-01-10T14:00,4.9,3.4,19.7,100,4.0,0.70
2021-01-10T15:00,4.8,3.2,23.0,100,39.0,0.60
2021-01-10T16:00,4.7,3.0,23.7,100,53.0,0.50
2021-01-10T17:00,4.9,3.1,22.2,100,100.0,1.30
2021-01-10T18:00,5.0,3.1,24.9,100,147.0,1.70
2021-01-10T19:00,4.6,3.0,28.8,100,115.0,2.40
2021-01-10T20:00,4.6,3.0,25.5,100,100.0,0.50
2021-01-10T21:00,4.6,2.9,24.4,100,69.0,2.30
2021-01-10T22:00,4.1,2.8,25.9,100,20.0,2.10
2021-01-10T23:00,3.6,2.3,27.1,100,26.0,1.50
2021-01-11T00:00,2.9,2.2,24.9,100,3.0,1.80
2021-01-11T01:00,2.3,1.8,22.8,100,0.0,1.30
2021-01-11T02:00,2.5,1.7,22.2,100,0.0,1.10
2021-01-11T03:00,2.7,1.7,20.2,100,0.0,0.90
2021-01-11T04:00,2.7,1.8,21.6,100,0.0,0.90
2021-01-11T05:00,2.7,1.7,23.0,98,0.0,0.50
2021-01-11T06:00,2.6,1.4,20.6,100,0.0,0.10
2021-01-11T07:00,2.3,1.2,19.8,100,0.0,0.00
2021-01-11T08:00,2.4,1.0,20.4,99,0.0,0.00
2021-01-11T09:00,2.4,0.9,19.4,87,0.0,0.00
2021-01-11T10:00,2.2,0.6,19.7,97,0.0,0.00
2021-01-11T11:00,2.2,0.5,18.7,69,0.0,0.00
2021-01-11T12:00,1.8,0.2,15.9,2,0.0,0.00
2021-01-11T13:00,0.9,-0.1,13.6,82,0.0,0.00
2021-01-11T14:00,1.6,0.1,14.7,59,19.0,0.00
2021-01-11T15:00,3.1,-0.3,20.5,47,139.0,0.00
2021-01-11T16:00,4.1,-0.9,20.5,100,242.0,0.00
2021-01-11T17:00,4.7,-0.7,19.7,100,262.0,0.00
2021-01-11T18:00,5.3,-0.9,20.3,100,305.0,0.00
2021-01-11T19:00,6.1,-0.7,19.8,100,357.0,0.00
2021-01-11T20:00,6.8,-0.4,20.4,100,386.0,0.00
2021-01-11T21:00,7.1,-0.4,19.8,97,360.0,0.00
2021-01-11T22:00,7.1,-0.5,17.9,79,267.0,0.00
2021-01-11T23:00,6.7,-0.6,16.6,0,142.0,0.00
2021-01-12T00:00,4.6,-1.2,15.7,0,23.0,0.00
2021-01-12T01:00,4.1,-1.3,15.2,83,0.0,0.00
2021-01-12T02:00,3.7,-1.1,11.5,87,0.0,0.00
2021-01-12T03:00,3.4,-1.2,9.4,82,0.0,0.00
2021-01-12T04:00,3.3,-1.2,9.5,78,0.0,0.00
2021-01-12T05:00,2.8,-1.2,7.8,60,0.0,0.00
2021-01-12T06:00,1.8,-1.2,6.3,18,0.0,0.00
2021-01-12T07:00,0.6,-1.2,6.2,3,0.0,0.00
2021-01-12T08:00,-0.2,-1.5,6.0,0,0.0,0.00
2021-01-12T09:00,-0.6,-1.7,6.4,0,0.0,0.00
2021-01-12T10:00,-0.9,-1.9,6.6,0,0.0,0.00
2021-01-12T11:00,-1.2,-2.2,6.1,0,0.0,0.00
2021-01-12T12:00,-1.3,-2.3,6.0,0,0.0,0.00
2021-01-12T13:00,-1.6,-2.5,5.9,0,0.0,0.00
2021-01-12T14:00,-0.3,-1.4,8.4,0,26.0,0.00
2021-01-12T15:00,2.7,-0.1,4.9,0,187.0,0.00
2021-01-12T16:00,5.3,0.9,3.0,0,374.0,0.00
2021-01-12T17:00,7.2,1.3,2.6,18,525.0,0.00
2021-01-12T18:00,8.4,1.2,2.2,58,586.0,0.00
2021-01-12T19:00,9.0,1.0,2.1,67,531.0,0.00
2021-01-12T20:00,9.2,0.8,1.1,51,413.0,0.00
2021-01-12T21:00,9.5,0.6,0.8,92,365.0,0.00
2021-01-12T22:00,9.1,0.6,4.2,62,108.0,0.00
2021-01-12T23:00,8.8,1.0,4.0,95,98.0,0.00
2021-01-13T00:00,8.6,2.2,4.5,97,7.0,0.00
2021-01-13T01:00,8.5,2.4,7.6,90,0.0,0.00
2021-01-13T02:00,7.9,2.6,6.4,71,0.0,0.00
2021-01-13T03:00,7.2,2.4,6.2,61,0.0,0.00
2021-01-13T04:00,6.4,2.2,6.6,64,0.0,0.00
2021-01-13T05:00,5.9,2.0,6.5,70,0.0,0.00
2021-01-13T06:00,5.7,1.9,6.5,92,0.0,0.00
2021-01-13T07:00,6.0,1.8,8.8,76,0.0,0.00
2021-01-13T08:00,5.6,1.9,5.4,36,0.0,0.00
2021-01-13T09:00,4.3,1.9,5.9,1,0.0,0.00
2021-01-13T10:00,2.8,1.4,6.9,0,0.0,0.00
2021-01-13T11:00,2.5,1.1,8.9,0,0.0,0.00
2021-01-13T12:00,2.4,0.9,8.0,0,0.0,0.00
2021-01-13T13:00,1.7,0.5,7.8,0,0.0,0.00
2021-01-13T14:00,2.8,0.8,10.2,0,26.0,0.00
2021-01-13T15:00,5.4,1.5,7.6,0,187.0,0.00
2021-01-13T16:00,7.9,2.5,8.9,0,377.0,0.00
2021-01-13T17:00,10.2,3.6,9.5,0,532.0,0.00
2021-01-13T18:00,12.0,4.2,10.5,0,630.0,0.00
2021-01-13T19:00,13.2,4.3,12.6,0,665.0,0.00
2021-01-13T20:00,13.9,4.4,13.8,0,632.0,0.00
2021-01-13T21:00,14.2,4.4,14.5,0,534.0,0.00
2021-01-13T22:00,14.0,4.2,13.5,0,381.0,0.00
2021-01-13T23:00,12.8,5.0,8.2,0,192.0,0.00
2021-01-14T00:00,9.6,4.3,8.3,0,27.0,0.00
2021-01-14T01:00,9.6,3.7,12.0,0,0.0,0.00
2021-01-14T02:00,8.5,3.5,13.3,0,0.0,0.00
2021-01-14T03:00,7.4,3.2,12.6,0,0.0,0.00
2021-01-14T04:00,6.4,3.0,11.1,0,0.0,0.00
2021-01-14T05:00,5.9,2.9,10.8,0,0.0,0.00
2021-01-14T06:00,5.5,2.8,10.5,0,0.0,0.00
2021-01-14T07:00,5.4,3.2,11.0,0,0.0,0.00
2021-01-14T08:00,5.5,3.7,11.7,0,0.0,0.00
2021-01-14T09:00,5.8,4.1,12.5,0,0.0,0.00
2021-01-14T10:00,6.0,4.4,12.9,0,0.0,0.00
2021-01-14T11:00,6.3,4.6,12.3,0,0.0,0.00
2021-01-14T12:00,6.8,5.0,12.6,0,0.0,0.00
2021-01-14T13:00,6.7,4.9,14.5,0,0.0,0.00
2021-01-14T14:00,7.9,5.8,16.1,0,27.0,0.00
2021-01-14T15:00,11.0,7.4,18.5,0,192.0,0.00
2021-01-14T16:00,13.8,8.3,20.9,0,381.0,0.00
2021-01-14T17:00,16.1,8.6,24.9,0,536.0,0.00
2021-01-14T18:00,17.9,8.8,24.7,0,636.0,0.00
2021-01-14T19:00,19.1,8.7,23.8,0,668.0,0.00
2021-01-14T20:00,19.5,8.4,23.9,0,631.0,0.00
2021-01-14T21:00,19.2,7.2,23.0,0,528.0,0.00
2021-01-14T22:00,18.4,6.8,19.1,0,375.0,0.00
2021-01-14T23:00,16.7,7.6,12.1,0,188.0,0.00
2021-01-15T00:00,14.7,7.1,15.9,0,27.0,0.00
2021-01-15T01:00,14.1,4.3,19.5,0,0.0,0.00
2021-01-15T02:00,12.4,3.2,12.9,0,0.0,0.00
2021-01-15T03:00,11.2,3.2,13.9,0,0.0,0.00
2021-01-15T04:00,11.4,2.4,23.1,0,0.0,0.00
2021-01-15T05:00,11.3,-1.0,22.0,0,0.0,0.00
2021-01-15T06:00,9.9,-2.1,17.1,0,0.0,0.00
2021-01-15T07:00,8.2,-2.2,12.8,0,0.0,0.00
2021-01-15T08:00,6.7,-2.1,9.5,0,0.0,0.00
2021-01-15T09:00,5.9,-2.6,9.2,0,0.0,0.00
2021-01-15T10:00,5.9,-3.9,12.0,0,0.0,0.00
2021-01-15T11:00,5.7,-4.5,12.4,0,0.0,0.00
2021-01-15T12:00,7.4,-6.5,18.2,0,0.0,0.00
2021-01-15T13:00,6.8,-6.1,21.1,0,0.0,0.00
2021-01-15T14:00,6.9,-5.2,19.6,0,28.0,0.00
2021-01-15T15:00,8.9,-3.7,23.3,0,198.0,0.00
2021-01-15T16:00,10.5,-4.0,20.6,0,391.0,0.00
2021-01-15T17:00,11.8,-4.7,24.2,0,547.0,0.00
2021-01-15T18:00,12.6,-4.7,25.1,0,652.0,0.00
2021-01-15T19:00,13.2,-4.8,27.4,0,689.0,0.00
2021-01-15T20:00,13.7,-4.7,29.3,0,655.0,0.00
2021-01-15T21:00,13.8,-5.3,31.7,0,555.0,0.00
2021-01-15T22:00,13.3,-6.4,31.1,0,399.0,0.00
2021-01-15T23:00,12.0,-5.4,22.7,0,205.0,0.00
2021-01-16T00:00,11.0,-6.5,17.4,0,31.0,0.00
2021-01-16T01:00,9.9,-6.7,14.9,0,0.0,0.00
2021-01-16T02:00,8.5,-6.7,12.0,0,0.0,0.00
2021-01-16T03:00,7.1,-6.5,10.1,0,0.0,0.00
2021-01-16T04:00,6.4,-6.3,11.2,0,0.0,0.00
2021-01-16T05:00,6.0,-6.5,12.2,0,0.0,0.00
2021-01-16T06:00,5.5,-6.6,13.0,0,0.0,0.00
2021-01-16T07:00,4.9,-6.6,12.0,0,0.0,0.00
2021-01-16T08:00,4.6,-6.6,13.1,0,0.0,0.00
2021-01-16T09:00,4.4,-6.9,13.7,0,0.0,0.00
2021-01-16T10:00,4.2,-7.4,14.2,0,0.0,0.00
2021-01-16T11:00,4.0,-8.0,13.8,0,0.0,0.00
2021-01-16T12:00,3.9,-7.9,13.2,0,0.0,0.00
2021-01-16T13:00,3.3,-7.9,11.5,0,0.0,0.00
2021-01-16T14:00,3.7,-6.4,12.5,0,28.0,0.00
2021-01-16T15:00,6.2,-4.8,12.4,0,197.0,0.00
2021-01-16T16:00,8.5,-3.9,12.0,0,390.0,0.00
2021-01-16T17:00,10.3,-3.6,11.5,0,548.0,0.00
2021-01-16T18:00,11.6,-3.0,11.3,0,650.0,0.00
2021-01-16T19:00,12.5,-2.2,13.1,0,685.0,0.00
2021-01-16T20:00,13.2,-1.9,13.5,0,652.0,0.00
2021-01-16T21:00,13.4,-2.0,13.2,0,552.0,0.00
2021-01-16T22:00,13.2,-2.0,13.6,0,397.0,0.00
2021-01-16T23:00,11.8,1.0,6.2,0,205.0,0.00
2021-01-17T00:00,10.8,-0.9,7.2,0,32.0,0.00
2021-01-17T01:00,10.6,-1.4,6.2,0,0.0,0.00
2021-01-17T02:00,7.1,-0.6,10.2,0,0.0,0.00
2021-01-17T03:00,6.7,-0.9,8.9,0,0.0,0.00
2021-01-17T04:00,7.2,-1.3,6.4,0,0.0,0.00
2021-01-17T05:00,6.7,-1.1,5.4,0,0.0,0.00
2021-01-17T06:00,3.6,-0.5,7.9,17,0.0,0.00
2021-01-17T07:00,3.1,-0.5,7.0,73,0.0,0.00
2021-01-17T08:00,3.4,0.1,6.8,96,0.0,0.00
2021-01-17T09:00,3.2,-0.1,7.8,100,0.0,0.00
2021-01-17T10:00,4.7,-0.2,6.6,98,0.0,0.00
2021-01-17T11:00,4.7,0.0,8.0,100,0.0,0.00
2021-01-17T12:00,5.1,-0.8,6.2,99,0.0,0.00
2021-01-17T13:00,4.6,-0.8,7.5,1,0.0,0.00
2021-01-17T14:00,5.5,-0.6,7.6,0,27.0,0.00
2021-01-17T15:00,9.1,0.9,8.7,0,193.0,0.00
2021-01-17T16:00,12.3,2.5,8.3,0,385.0,0.00
2021-01-17T17:00,14.7,3.1,9.7,0,541.0,0.00
2021-01-17T18:00,16.4,3.1,11.6,0,641.0,0.00
2021-01-17T19:00,17.3,3.3,13.7,0,675.0,0.00
2021-01-17T20:00,17.6,3.4,15.3,0,642.0,0.00
2021-01-17T21:00,17.6,2.8,14.8,0,544.0,0.00
2021-01-17T22:00,17.2,2.8,12.7,0,391.0,0.00
2021-01-17T23:00,15.2,5.7,7.1,0,201.0,0.00
2021-01-18T00:00,11.7,2.8,11.2,0,32.0,0.00
2021-01-18T01:00,11.4,3.1,8.3,0,0.0,0.00
2021-01-18T02:00,10.0,4.0,8.4,0,0.0,0.00
2021-01-18T03:00,8.8,3.6,8.3,0,0.0,0.00
2021-01-18T04:00,7.6,3.5,10.0,0,0.0,0.00
2021-01-18T05:00,6.8,2.6,10.8,0,0.0,0.00
2021-01-18T06:00,6.3,2.3,8.6,0,0.0,0.00
2021-01-18T07:00,6.0,2.9,9.4,0,0.0,0.00
2021-01-18T08:00,5.4,2.8,10.8,0,0.0,0.00
